"name","name_full","comment","reference_version","target_version"
"epo:TechnicalAbilitySummary","http://data.europa.eu/a4g/ontology#TechnicalAbilitySummary","","3.1.0","4.0.0-rc.1"
"epo:Technique","http://data.europa.eu/a4g/ontology#Technique","renamed from epo:TechniqueUsage","3.1.0","4.0.0-rc.1"
"epo:VehicleInformation","http://data.europa.eu/a4g/ontology#VehicleInformation","","3.1.0","4.0.0-rc.1"
"adms:Identifier","http://www.w3.org/ns/adms#Identifier","renamed from epo:Identifier","3.1.0","4.0.0-rc.1"
"epo-cat:InformationHub","http://data.europa.eu/a4g/ontology#InformationHub","","3.1.0","4.0.0-rc.1"
"epo-cat:Line","http://data.europa.eu/a4g/ontology#Line","","3.1.0","4.0.0-rc.1"
"epo-cat:PostAwardDocument","http://data.europa.eu/a4g/ontology#PostAwardDocument","","3.1.0","4.0.0-rc.1"
"epo-cat:Certificate","http://data.europa.eu/a4g/ontology#Certificate","renamed from epo-cat:ItemCertificate","3.1.0","4.0.0-rc.1"
"epo-cat:ItemProperty","http://data.europa.eu/a4g/ontology#ItemProperty","renamed from epo-cat:ItemDescription","3.1.0","4.0.0-rc.1"
"epo-ord:DeliveryAgreement","http://data.europa.eu/a4g/ontology#DeliveryAgreement","","3.1.0","4.0.0-rc.1"
"epo-ord:AllowanceInformation","http://data.europa.eu/a4g/ontology#AllowanceInformation","renamed from epo-ord:DiscountInformation","3.1.0","4.0.0-rc.1"
"epo-ord:AllowanceChargeInformation","http://data.europa.eu/a4g/ontology#AllowanceChargeInformation","renamed from epo-ord:PriceModifierInformation","3.1.0","4.0.0-rc.1"
"epo-ord:OrderResponseInformation","http://data.europa.eu/a4g/ontology#OrderResponseInformation","","3.1.0","4.0.0-rc.1"
"epo-ord:OrderResponseLine","http://data.europa.eu/a4g/ontology#OrderResponseLine","","3.1.0","4.0.0-rc.1"
"epo-ord:OrderResponse","http://data.europa.eu/a4g/ontology#OrderResponse","","3.1.0","4.0.0-rc.1"
"epo-not:PreMarketConsultationNotice","http://data.europa.eu/a4g/ontology#PreMarketConsultationNotice","","3.1.0","4.0.0-rc.1"
